"country","UnemploymentRateWorldBank","UnemploymentRateWorldBankDataYear","UnemploymentRateILO","UnemploymentRateILODataYear","UnemploymentRateCIA","UnemploymentRateCIADataYear"
"Chad",1.1,2018,1.13,2018,1.88,2021
"Somalia",18.8,2019,18.83,2019,19.86,2021
"Ecuador",3.8,2022,4.5,2021,6.43,2021
"Guatemala",3,2022,2.19,2019,3.57,2021
"Senegal",2.9,2019,2.86,2019,3.72,2021
"Netherlands",3.5,2022,4.21,2021,4.01,2021
"Cambodia",0.4,2021,0.5,2019,0.61,2021
"Zimbabwe",9.5,2021,7.37,2019,5.17,2021
"Guinea",5,2019,5.02,2019,6.34,2021
"Rwanda",15.1,2022,15.79,2021,1.61,2021
"Benin",1.5,2018,1.47,2018,1.57,2021
"Burundi",1,2020,1.03,2020,1.79,2021
"Bolivia",3.5,2022,5.09,2021,8.51,2021
"Tunisia",17.1,2019,15.13,2019,16.82,2021
"Haiti",14.1,2012,,,15.73,2021
"Belgium",5.6,2022,6.26,2021,6.42,2021
"Dominican Republic",7.7,2021,7.7,2021,8.5,2021
"Jordan",19.8,2021,19.84,2021,19.25,2021
"South Sudan",12.2,2008,,,13.91,2021
"Cuba",1.7,2018,1.7,2018,2.76,2021
"Honduras",8.5,2021,10.68,2020,8.51,2021
"Sweden",7.4,2022,8.72,2021,8.66,2021
"Papua New Guinea",2.6,2011,,,2.75,2021
"Czech Republic",2.2,2022,2.8,2021,2.89,2021
"Azerbaijan",5.7,2022,5.95,2021,6.58,2021
"Tajikistan",6.9,2016,6.9,2016,7.75,2021
"Greece",12.4,2022,14.66,2021,14.8,2021
"Portugal",6,2022,6.58,2021,6.65,2021
"Hungary",3.6,2022,4.05,2021,4.12,2021
"United Arab Emirates",3.1,2021,3.11,2021,3.36,2021
"Belarus",3.6,2022,3.9,2021,4.74,2021
"Israel",4.8,2021,4.96,2021,5.05,2021
"Togo",3.7,2017,3.74,2017,4,2021
"Sierra Leone",3.2,2018,3.19,2018,5.33,2021
"Austria",5,2022,6.46,2021,6.3,2021
"Switzerland",4.3,2022,5.1,2021,5.32,2021
"Laos",3.3,2017,3.27,2017,1.26,2021
"Hong Kong",4.3,2022,5.17,2021,5.32,2021
"Nicaragua",5.2,2018,5.2,2018,5.96,2021
"Serbia",8.7,2022,10.06,2021,11.81,2021
"Libya",19,2012,,,19.58,2021
"Paraguay",6.8,2022,7.31,2021,7.21,2021
"Kyrgyzstan",4.1,2021,4.1,2021,9.1,2021
"Bulgaria",4.3,2022,5.27,2021,5.42,2021
"Turkmenistan",4,2010,,,5.08,2021
"El Salvador",3,2022,4.33,2021,5.94,2021
"Singapore",3.6,2022,3.54,2021,3.62,2021
"Denmark",4.4,2022,5.06,2021,4.8,2021
"Central African Republic",,,,,6.57,2021
"Slovakia",6.1,2022,6.89,2021,6.74,2021
"Finland",6.7,2022,7.61,2021,7.53,2021
"Liberia",6,2017,5.95,2017,4.09,2021
"Norway",3.2,2022,4.37,2021,4.99,2021
"Palestine",24.4,2022,,,24.9,2021
"New Zealand",3.3,2022,3.78,2021,4.12,2021
"Costa Rica",11.3,2022,15.14,2021,17.95,2021
"Lebanon",11.3,2019,11.3,2019,14.49,2021
"Ireland",4.5,2022,6.19,2021,6.63,2021
"Mauritania",10.4,2019,10.42,2019,11.46,2021
"Oman",1.9,2021,2.94,2020,3.12,2021
"Panama",8.3,2022,10.29,2021,12.09,2021
"Kuwait",2.2,2016,2.16,2016,3.71,2021
"Croatia",7,2022,7.61,2021,8.68,2021
"Eritrea",,,,,8.05,2021
"Georgia",11.7,2020,11.73,2020,10.66,2021
"Mongolia",6.2,2022,7.75,2021,7.08,2021
"Uruguay",7.9,2022,9.29,2021,10.45,2021
"Moldova",0.9,2022,0.79,2021,3.96,2021
"Puerto Rico",6,2022,7.9,2021,8.27,2021
"Bosnia and Herzegovina",12.7,2022,14.9,2021,15.22,2021
"Gambia",4.1,2018,4.13,2018,11.21,2021
"Albania",11.5,2019,11.69,2020,11.82,2021
"Jamaica",5.2,2021,8.35,2021,9.18,2021
"Armenia",10,2021,12.18,2020,20.9,2021
"Qatar",0.1,2022,0.14,2021,0.26,2021
"Botswana",23.6,2022,21.02,2020,24.72,2021
"Lithuania",4.6,2022,7.11,2021,7.9,2021
"Namibia",19.9,2018,19.88,2018,21.68,2021
"Gabon",20.4,2010,,,22.26,2021
"Lesotho",16.9,2019,16.88,2019,24.6,2021
"Guinea-Bissau",3.2,2018,3.2,2018,6.76,2021
"Slovenia",4,2022,4.74,2021,4.42,2021
"North Macedonia",14.4,2022,15.78,2021,16.2,2021
"Latvia",6.8,2022,7.51,2021,7.6,2021
"Equatorial Guinea",25,1983,,,9.24,2021
"Trinidad and Tobago",4.5,2021,4.45,2021,4.8,2021
"Bahrain",1.2,2012,,,1.87,2021
"Timor-Leste",2.3,2021,4.66,2016,5.07,2021
"Estonia",5.6,2022,6.18,2021,6.33,2021
"Mauritius",7.7,2021,8.2,2021,7.41,2021
"Cyprus",6.8,2022,7.51,2021,6.13,2021
"Eswatini",22.7,2016,22.72,2016,25.76,2021
"Djibouti",26.1,2017,26.06,2017,28.39,2021
"Fiji",4.3,2016,4.32,2016,5.24,2021
"Comoros",5.9,2021,,,9.45,2021
"Guyana",13.5,2019,13.52,2019,16.42,2021
"Bhutan",6,2022,4.8,2021,4.33,2021
"Solomon Islands",0.7,2013,,,1.03,2021
"Macau",2.6,2020,2.57,2020,3.01,2021
"Luxembourg",4.6,2022,5.25,2021,5.23,2021
"Suriname",7.9,2016,7.92,2016,10.06,2021
"Montenegro",16.5,2021,17.88,2020,18.49,2021
"Cape Verde",11.3,2019,11.29,2019,15.42,2021
"Malta",2.9,2022,3.39,2021,3.5,2021
"Maldives",4.6,2019,4.56,2019,6.08,2021
"Brunei",4.9,2021,4.91,2021,7.65,2021
"Belize",10.2,2021,10.16,2021,8.22,2021
"Bahamas",10,2018,10,2018,13.24,2021
"Guadeloupe",,,23.8,2016,,
"Iceland",3.8,2022,5.99,2021,5.4,2021
"Martinique",,,17.6,2016,,
"Vanuatu",4,2020,5.44,2019,2.18,2021
"French Guiana",,,23.2,2016,,
"French Polynesia",11.7,2007,,,14.39,2021
"New Caledonia",13.6,2020,13.56,2020,16.57,2021
"Barbados",8.4,2019,8.41,2019,10.41,2021
"Sao Tome and Principe",13.6,2012,,,15.91,2021
"Samoa",9.4,2017,9.4,2017,9.84,2021
"Curacao",19.1,2020,19.07,2020,13,2013
"Saint Lucia",15.8,2022,19.52,2021,16.91,2021
"Guam",5.4,2016,5.4,2016,6.98,2021
"Kiribati",11,2020,8.56,2019,30.6,2010
"Grenada",22.9,2015,22.9,2015,24,2017
"Micronesia",8.9,2014,,,16.2,2010
"Jersey",,,4,2015,7.37,2021
"Tonga",2.1,2021,2.25,2018,3.97,2021
"Seychelles",4.3,2020,4.31,2020,3,2017
"Aruba",8.9,2011,,,7.7,2016
"Saint Vincent and the Grenadines",18.8,2008,,,21.62,2021
"United States Virgin Islands",,,,,13.27,2021
"Antigua and Barbuda",,,,,11,2014
"Isle of Man",2.7,2016,2.67,2016,2,"Apr-11"
"Andorra",,,,,3.7,2016
"Dominica",11,2001,,,23,2000
"Cayman Islands",4.2,2015,4.24,2015,4,2008
"Bermuda",8.9,2014,,,7,2017
"Guernsey",,,,,7.37,2021
"Greenland",9.1,2015,9.1,2015,9.1,2015
"Faroe Islands",4,2013,,,2.2,2017
"Northern Mariana Islands",11.2,2010,,,11.2,2010
"Saint Kitts and Nevis",5.1,2001,,,4.5,1997
"Turks and Caicos Islands",8.3,2008,,,10,1997
"Sint Maarten",,,,,12,2012
"American Samoa",9.2,2010,,,29.8,2005
"Marshall Islands",9.8,2021,6.34,2019,36,2006
"Liechtenstein",2,2007,,,2.4,2015
"Monaco",6.3,2016,6.33,2016,2,2012
"San Marino",6.3,2021,6.34,2021,8.1,2017
"Gibraltar",6.4,1991,,,1,2016
"British Virgin Islands",3.3,1991,,,2.9,2015
"Palau",0.8,2020,,,1.7,2015
"Cook Islands",,,1.26,2019,13.1,2005
"Anguilla",,,,,8,2002
"Nauru",5.1,2021,,,23,2011
"Tuvalu",26.6,2017,8.49,2016,,
"Wallis and Futuna",,,,,8.8,2013
"Saint Pierre and Miquelon",,,,,8.7,2015
"Montserrat",,,8.33,2020,5.6,2017
"Falkland Islands",,,0.97,2016,1,2016
"Niue",,,,,12,2001
"Tokelau",,,,,2,2015
